Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
152948279,2025-10-12 16:14:00,"Howick Place, Westminster",2666,2025-10-13 07:30:00,"St. Bride Street, Holborn",200094,62483,PBSC_EBIKE,15h 16m 40s,55000559,916.6759833333333,Anamoly (>300 mins)
152947786,2025-10-12 15:58:00,"Blenheim Crescent, Ladbroke Grove",300090,2025-10-13 12:04:00,"New Kent Road, The Borough",966,64069,PBSC_EBIKE,20h 5m 44s,72344734,1205.7455666666667,Anamoly (>300 mins)
152947216,2025-10-12 15:43:00,"Hyde Park Corner, Hyde Park",1075,2025-10-12 22:08:00,"Nutford Place, Marylebone",1112,56730,CLASSIC,6h 25m 5s,23105630,385.09383333333335,Anamoly (>300 mins)
152946347,2025-10-12 15:17:00,"Ilchester Gardens, Bayswater",200086,2025-10-13 12:04:00,"New Kent Road, The Borough",966,62470,PBSC_EBIKE,20h 46m 46s,74806549,1246.7758166666667,Anamoly (>300 mins)
152946131,2025-10-12 15:10:00,"Cantrell Road, Bow",200150,2025-10-17 14:34:00,"Palissy Street, Shoreditch",3502,57301,CLASSIC,4d 23h 24m 14s,429854454,7164.2409,Anamoly (>300 mins)
152944654,2025-10-12 14:23:00,"Upper Bank Street, Canary Wharf",200099,2025-10-12 20:36:00,"Chrisp Street Market, Poplar",200089,63404,PBSC_EBIKE,6h 12m 45s,22365433,372.7572166666667,Anamoly (>300 mins)
152943903,2025-10-12 13:59:00,"Dunston Road , Haggerston",300024,2025-10-12 20:25:00,"Dunston Road , Haggerston",300024,55119,CLASSIC,6h 26m 6s,23166441,386.10735,Anamoly (>300 mins)
152943618,2025-10-12 13:50:00,"Austin Road, Battersea Park",300013,2025-10-12 20:18:00,"Alfreda Street, Battersea Park",300047,57520,CLASSIC,6h 28m 46s,23326458,388.7743,Anamoly (>300 mins)
152943052,2025-10-12 13:33:00,"Cheshire Street, Bethnal Green",200003,2025-10-12 18:54:00,"Cheshire Street, Bethnal Green",200003,58857,CLASSIC,5h 20m 29s,19229562,320.4927,Anamoly (>300 mins)
152942700,2025-10-12 13:21:00,"Pitfield Street North,Hoxton",200152,2025-10-12 18:27:00,"Hoxton Street, Hoxton",200071,54200,CLASSIC,5h 5m 50s,18350694,305.8449,Anamoly (>300 mins)
152942107,2025-10-12 13:04:00,"Frampton Street, Paddington",1099,2025-10-14 10:33:00,"Castlehaven Road, Camden Town",200016,55994,CLASSIC,1d 21h 29m 29s,163769887,2729.4981166666666,Anamoly (>300 mins)
152942094,2025-10-12 13:04:00,"Frampton Street, Paddington",1099,2025-10-14 16:23:00,"Queen's Gate (North), Kensington",1204,51606,CLASSIC,2d 3h 19m 48s,184788974,3079.8162333333335,Anamoly (>300 mins)
152941841,2025-10-12 12:56:00,"Naval Row, Blackwall",200050,2025-10-17 00:07:00,"Hyde Park Corner, Hyde Park",1075,30568,CLASSIC,4d 11h 11m 9s,385869138,6431.1523,Anamoly (>300 mins)
152940670,2025-10-12 12:18:00,"Ferndale Road, Brixton",200240,2025-10-13 13:45:00,"Borough High Street, The Borough",996,31057,CLASSIC,1d 1h 27m 4s,91624423,1527.0737166666668,Anamoly (>300 mins)
152939345,2025-10-12 11:33:00,"Green Street, Mayfair",3464,2025-10-12 17:14:00,"De Vere Gardens, Kensington",3446,63169,PBSC_EBIKE,5h 41m 12s,20472018,341.2003,Anamoly (>300 mins)
152939048,2025-10-12 11:21:00,"Pont Street, Knightsbridge",1114,2025-10-12 18:49:00,"Barbican Centre, Barbican",1191,55856,CLASSIC,7h 28m 22s,26902528,448.3754666666667,Anamoly (>300 mins)
152936962,2025-10-12 09:50:00,"Great Percy Street, Clerkenwell",3470,2025-10-12 18:22:00,"Great Percy Street, Clerkenwell",3470,59737,CLASSIC,8h 31m 23s,30683693,511.3948833333333,Anamoly (>300 mins)
152936963,2025-10-12 09:50:00,"Great Percy Street, Clerkenwell",3470,2025-10-12 18:21:00,"Great Percy Street, Clerkenwell",3470,53133,CLASSIC,8h 31m 4s,30664594,511.0765666666667,Anamoly (>300 mins)
152936815,2025-10-12 09:43:00,"Bolsover Street, Fitzrovia",1025,2025-10-12 18:33:00,"Warren Street Station, Euston",1090,20161,CLASSIC,8h 50m 6s,31806102,530.1017,Anamoly (>300 mins)
152936605,2025-10-12 09:31:00,"Albert Gate, Hyde Park",1132,2025-10-13 09:21:00,"Grosvenor Square, Mayfair",10627,35318,CLASSIC,23h 49m 59s,85799740,1429.9956666666667,Anamoly (>300 mins)
152936566,2025-10-12 09:29:00,"Upper Grosvenor Street, Mayfair",10621,2025-10-14 07:26:00,"Macclesfield Rd, St Lukes",1226,60468,PBSC_EBIKE,1d 21h 57m 45s,165465639,2757.76065,Anamoly (>300 mins)
152936532,2025-10-12 09:26:00,"Park Lane, Mayfair",300093,2025-10-13 12:31:00,"Pall Mall East, West End",1153,23075,CLASSIC,1d 3h 5m 14s,97514535,1625.24225,Anamoly (>300 mins)
152934944,2025-10-12 04:38:00,"Kennington Station, Kennington",22170,2025-10-22 09:10:00,"Baldwin Street, St. Luke's",3500,21358,CLASSIC,10d 4h 32m 8s,880328234,14672.137233333333,Anamoly (>300 mins)
152934945,2025-10-12 04:39:00,"Kennington Station, Kennington",22170,2025-10-12 16:48:00,"Red Lion Square, Holborn",3421,54063,CLASSIC,12h 9m 11s,43751183,729.1863833333333,Anamoly (>300 mins)
152934800,2025-10-12 03:22:00,"Webber Street , Southwark",3448,2025-10-17 11:51:00,"Regent's Row , Haggerston",200064,58106,CLASSIC,5d 8h 28m 41s,462521946,7708.6991,Anamoly (>300 mins)
152934289,2025-10-12 01:17:00,"Parson's Green , Parson's Green",200237,2025-10-12 09:41:00,"Normand Park, West Kensington",300008,30090,CLASSIC,8h 24m 5s,30245421,504.09035,Anamoly (>300 mins)
152934285,2025-10-12 01:16:00,"Parson's Green , Parson's Green",200237,2025-10-12 09:30:00,"Normand Park, West Kensington",300008,57022,CLASSIC,8h 13m 48s,29628575,493.8095833333333,Anamoly (>300 mins)
152933896,2025-10-12 00:20:00,"Moor Street, Soho",3504,2025-10-12 13:41:00,"Southwick Street, Paddington",3490,35077,CLASSIC,13h 21m 0s,48060102,801.0017,Anamoly (>300 mins)
152933774,2025-10-12 00:06:00,"New Cavendish Street, Marylebone",200005,2025-10-12 08:32:00,"New Cavendish Street, Marylebone",200005,63382,PBSC_EBIKE,8h 25m 10s,30310043,505.1673833333333,Anamoly (>300 mins)
152933521,2025-10-11 23:37:00,"Kennington Station, Kennington",22170,2025-10-12 08:48:00,"Wynne Road, Stockwell",300230,24030,CLASSIC,9h 11m 50s,33110025,551.83375,Anamoly (>300 mins)
152932814,2025-10-11 22:35:00,"New Cavendish Street, Marylebone",200005,2025-10-12 08:19:00,"New Cavendish Street, Marylebone",200005,58150,CLASSIC,9h 44m 3s,35043263,584.0543833333334,Anamoly (>300 mins)
152932593,2025-10-11 22:16:00,"Storey's Gate, Westminster",200202,2025-10-15 17:33:00,"Royal College Street, Camden Town",2686,56166,CLASSIC,3d 19h 17m 30s,328650830,5477.513833333333,Anamoly (>300 mins)
152932302,2025-10-11 21:51:00,"Blackfriars Station, St. Paul's",200212,2025-10-14 00:32:00,"Vauxhall Bridge , Pimlico",1046,90863,CLASSIC,2d 2h 40m 26s,182426738,3040.4456333333333,Anamoly (>300 mins)
152931797,2025-10-11 21:10:00,"Hewison Street, Old Ford",200006,2025-10-12 08:23:00,"Bow Road Station, Bow",200251,57902,CLASSIC,11h 12m 52s,40372007,672.8667833333334,Anamoly (>300 mins)
152931658,2025-10-11 20:58:00,"East Village, Queen Elizabeth Olympic Park",300200,2025-10-21 17:34:00,"Normandy Road, Stockwell",300225,51248,CLASSIC,9d 20h 35m 56s,851756878,14195.947966666667,Anamoly (>300 mins)
152931619,2025-10-11 20:56:00,"Broadwick Street, Soho",3489,2025-10-14 08:15:00,"Jubilee Plaza, Canary Wharf",200163,57843,CLASSIC,2d 11h 19m 26s,213566360,3559.4393333333333,Anamoly (>300 mins)
152931116,2025-10-11 20:20:00,"Crimscott Street, Bermondsey",300061,2025-10-12 04:09:00,"Queen Mother Sports Centre, Victoria",1148,20912,CLASSIC,7h 48m 46s,28126383,468.77305,Anamoly (>300 mins)
152930612,2025-10-11 19:52:00,"City Road, Angel",2690,2025-10-12 02:22:00,"Seville Street, Knightsbridge",1177,22300,CLASSIC,6h 29m 58s,23398201,389.97001666666665,Anamoly (>300 mins)
152930555,2025-10-11 19:50:00,"Waterloo Station 2, Waterloo",2692,2025-10-12 12:01:00,"Gauden Road, Clapham",300207,56675,CLASSIC,16h 11m 36s,58296517,971.6086166666666,Anamoly (>300 mins)
152930115,2025-10-11 19:29:00,"Green Park Station, Mayfair",200096,2025-10-12 17:46:00,Mechanical Workshop Penton,10626,64209,PBSC_EBIKE,22h 16m 32s,80192896,1336.5482666666667,Anamoly (>300 mins)
152929561,2025-10-11 19:06:00,"Brushfield Street, Liverpool Street",1161,2025-10-14 16:52:00,"George Row, Bermondsey",2679,54693,CLASSIC,2d 21h 46m 17s,251177612,4186.2935333333335,Anamoly (>300 mins)
152929011,2025-10-11 18:46:00,"Serpentine Car Park, Hyde Park",1217,2025-10-12 12:55:00,"Park Lane , Hyde Park",1037,35428,CLASSIC,18h 8m 28s,65308516,1088.4752666666666,Anamoly (>300 mins)
152928457,2025-10-11 18:28:00,"Bayswater Road, Hyde Park",1096,2025-10-13 09:55:00,"Knightsbridge, Hyde Park",1101,58497,CLASSIC,1d 15h 27m 25s,142045421,2367.4236833333334,Anamoly (>300 mins)
152928448,2025-10-11 18:27:00,"Bayswater Road, Hyde Park",1096,2025-10-11 23:47:00,"Wellington Arch, Hyde Park",1109,35533,CLASSIC,5h 19m 10s,19150992,319.1832,Anamoly (>300 mins)
152926549,2025-10-11 17:36:00,"Southwick Street, Paddington",3490,2025-10-12 09:04:00,"Fournier Street, Whitechapel",200157,58260,CLASSIC,15h 27m 17s,55637506,927.2917666666667,Anamoly (>300 mins)
152926432,2025-10-11 17:33:00,"Osiers Road, Wandsworth",200219,2025-10-12 14:31:00,"Parson's Green , Parson's Green",200237,55847,CLASSIC,20h 58m 2s,75482325,1258.03875,Anamoly (>300 mins)
152926118,2025-10-11 17:25:00,"Gloucester Avenue, Camden Town_OLD",2001454444,2025-10-18 12:27:00,"Broadwick Street, Soho",3489,20505,CLASSIC,6d 19h 2m 44s,586964502,9782.7417,Anamoly (>300 mins)
152926046,2025-10-11 17:23:00,"Clapham Common Station, Clapham Common",2694,2025-10-12 10:33:00,"Limburg Road, Clapham Junction",300100,54492,CLASSIC,17h 9m 57s,61797763,1029.9627166666667,Anamoly (>300 mins)
152925912,2025-10-11 17:20:00,"Chrisp Street Market, Poplar",200089,2025-10-12 16:09:00,"Fisherman's Walk West, Canary Wharf",22165,52415,CLASSIC,22h 49m 35s,82175032,1369.5838666666666,Anamoly (>300 mins)
152925773,2025-10-11 17:16:00,"Albert Bridge Road, Battersea Park",300045,2025-10-12 09:22:00,"Lower Marsh, Waterloo",1219,30786,CLASSIC,16h 6m 24s,57984467,966.4077833333333,Anamoly (>300 mins)
152923807,2025-10-11 16:29:00,"Whitehall Place, Strand",1151,2025-10-12 18:53:00,"Bankside Mix, Bankside",963,56433,CLASSIC,1d 2h 23m 50s,95030463,1583.84105,Anamoly (>300 mins)
152922368,2025-10-11 15:54:00,"Chepstow Villas, Notting Hill",1120,2025-10-12 13:42:00,"Ladbroke Grove Central, Ladbroke Grove",200015,59561,CLASSIC,21h 48m 1s,78481819,1308.0303166666667,Anamoly (>300 mins)
152922088,2025-10-11 15:47:00,"South Quay East, Canary Wharf",200233,2025-10-15 11:20:00,"Queen Mary's, Mile End",200249,59998,CLASSIC,3d 19h 32m 36s,329556020,5492.600333333334,Anamoly (>300 mins)
