Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051719,2025-10-15 23:59:00,"Gloucester Road Station, South Kensington",1107,2025-10-16 00:02:00,"Drayton Gardens, West Chelsea",200060,21145,CLASSIC,3m 43s,223233,3.72055,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051720,2025-10-15 23:59:00,"Hop Exchange, The Borough",960,2025-10-16 00:17:00,"Battersea Park Road, Nine Elms",200183,55937,CLASSIC,17m 49s,1069184,17.819733333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051721,2025-10-15 23:59:00,"Lambeth Palace Road, Waterloo",300231,2025-10-16 00:17:00,"Lambeth Palace Road, Waterloo",300231,52917,CLASSIC,18m 26s,1106396,18.439933333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051722,2025-10-15 23:59:00,"Vereker Road, West Kensington",200116,2025-10-16 00:02:00,"Greyhound Road, Hammersmith",200215,50274,CLASSIC,3m 14s,194482,3.2413666666666665,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051723,2025-10-15 23:59:00,"Vereker Road, West Kensington",200116,2025-10-16 00:02:00,"Greyhound Road, Hammersmith",200215,54406,CLASSIC,3m 9s,189723,3.16205,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051724,2025-10-15 23:59:00,"Panton Street, West End",3452,2025-10-16 00:20:00,"Islington Green, Angel",300031,58350,CLASSIC,21m 13s,1273499,21.224983333333334,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051725,2025-10-15 23:59:00,"Westfield Library Corner, Shepherd's Bush",200227,2025-10-16 00:18:00,"Westfield Library Corner, Shepherd's Bush",200227,41565,CLASSIC,18m 37s,1117193,18.619883333333334,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051716,2025-10-15 23:58:00,"Charing Cross Hospital, Hammersmith",300018,2025-10-15 23:59:00,"Greyhound Road, Hammersmith",200215,35790,CLASSIC,1m 34s,94027,1.5671166666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051717,2025-10-15 23:58:00,"Lambeth Palace Road, Waterloo",300231,2025-10-16 00:17:00,"Lambeth Palace Road, Waterloo",300231,59014,CLASSIC,19m 13s,1153943,19.232383333333335,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051718,2025-10-15 23:58:00,"Fore Street Avenue, Guildhall",200253,2025-10-16 00:08:00,"Percival Street, Finsbury",200051,59814,CLASSIC,9m 29s,569894,9.498233333333333,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051715,2025-10-15 23:57:00,"Braham Street, Aldgate",1062,2025-10-16 00:09:00,"Rectory Square, Stepney",200037,22914,CLASSIC,12m 5s,725745,12.09575,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051710,2025-10-15 23:56:00,"Devons Road, Bow",200255,2025-10-16 00:09:00,"Royal London Hospital, Whitechapel",1077,30620,CLASSIC,12m 53s,773236,12.887266666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051711,2025-10-15 23:56:00,"British Museum, Bloomsbury",981,2025-10-16 00:19:00,"Granby Street, Shoreditch",22174,51077,CLASSIC,22m 51s,1371268,22.854466666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051712,2025-10-15 23:56:00,"Woodstock Grove, Shepherd's Bush",200214,2025-10-16 00:05:00,"Lexham Gardens, Kensington",1121,62172,PBSC_EBIKE,8m 34s,514923,8.58205,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051713,2025-10-15 23:56:00,"Manresa Road, Chelsea",200010,2025-10-16 00:04:00,"Michael Road, Walham Green",300095,54866,CLASSIC,7m 26s,446016,7.4336,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051714,2025-10-15 23:57:00,"Haggerston Road, Haggerston",300081,2025-10-16 00:02:00,"Lansdowne Drive, Hackney Central",3426,57418,CLASSIC,4m 59s,299661,4.99435,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051706,2025-10-15 23:55:00,"Colet Gardens, Hammersmith",200224,2025-10-16 00:03:00,"Aintree Street, Fulham",200098,56583,CLASSIC,8m 3s,483807,8.06345,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051707,2025-10-15 23:55:00,"Regent's Row , Haggerston",200064,2025-10-16 00:06:00,"LMU Commercial Road, Whitechapel",1105,64098,PBSC_EBIKE,11m 3s,663116,11.051933333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051708,2025-10-15 23:55:00,"Cartwright Gardens , Bloomsbury",1010,2025-10-16 00:15:00,"Vauxhall Street, Vauxhall",1224,54326,CLASSIC,20m 23s,1223239,20.387316666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051709,2025-10-15 23:56:00,"Danvers Street, West Chelsea",200222,2025-10-16 00:04:00,"Parsons Green Station, Parsons Green",300052,51657,CLASSIC,8m 38s,518771,8.646183333333333,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051699,2025-10-15 23:54:00,"Barbican Centre, Barbican",1191,2025-10-16 00:14:00,"Watney Street, Shadwell",200149,23425,CLASSIC,20m 38s,1238327,20.638783333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051700,2025-10-15 23:54:00,"Ormonde Gate, Chelsea",300089,2025-10-16 00:06:00,"Horseferry Road, Westminster",1170,58875,CLASSIC,12m 5s,725235,12.08725,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051701,2025-10-15 23:54:00,"Southwark Station 2, Southwark",22163,2025-10-16 00:13:00,"Rotherhithe Roundabout, Rotherhithe",10629,57397,CLASSIC,19m 12s,1152692,19.211533333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051702,2025-10-15 23:54:00,"South Audley Street, Mayfair",3493,2025-10-16 00:24:00,"Cleveland Way, Stepney",200250,62897,PBSC_EBIKE,30m 12s,1812852,30.2142,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051703,2025-10-15 23:54:00,"Brushfield Street, Liverpool Street",1161,2025-10-16 00:10:00,"Clarkson Street, Bethnal Green",200131,58814,CLASSIC,16m 4s,964498,16.07496666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051704,2025-10-15 23:55:00,"Pritchard's Road, Bethnal Green",200083,2025-10-16 00:19:00,"Great Dover Street, The Borough",1017,40332,CLASSIC,24m 10s,1450072,24.167866666666665,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051705,2025-10-15 23:55:00,"Hortensia Road, West Brompton",300091,2025-10-16 00:04:00,"Emperor's Gate, South Kensington",1116,59447,CLASSIC,9m 24s,564761,9.412683333333334,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051691,2025-10-15 23:53:00,"Margery Street, Clerkenwell",3468,2025-10-16 00:16:00,"Brick Lane Market, Shoreditch",2687,52018,CLASSIC,23m 17s,1397742,23.2957,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051693,2025-10-15 23:53:00,"Duke Street Hill, London Bridge",300083,2025-10-15 23:58:00,"Curlew Street, Shad Thames",1213,59235,CLASSIC,5m 9s,309089,5.151483333333333,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051694,2025-10-15 23:53:00,"Normand Park, West Kensington",300008,2025-10-15 23:58:00,"Charing Cross Hospital, Hammersmith",300018,30909,CLASSIC,5m 2s,302239,5.037316666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051695,2025-10-15 23:53:00,"Holborn Circus, Holborn",982,2025-10-16 00:26:00,"Walnut Tree Walk, Vauxhall",1076,54997,CLASSIC,32m 30s,1950405,32.50675,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051696,2025-10-15 23:53:00,"Temple Gardens, Temple",300250,2025-10-16 00:02:00,"Smith Square, Westminster",3480,52958,CLASSIC,8m 52s,532544,8.875733333333333,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051697,2025-10-15 23:53:00,"British Museum, Bloomsbury",981,2025-10-16 00:05:00,"Strata, Elephant & Castle",10624,57130,CLASSIC,11m 27s,687350,11.455833333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051698,2025-10-15 23:53:00,"Old Street Station, St. Luke's",1064,2025-10-16 00:06:00,"Brick Lane Market, Shoreditch",2687,22977,CLASSIC,12m 27s,747328,12.455466666666666,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051686,2025-10-15 23:52:00,"Hop Exchange, The Borough",960,2025-10-16 00:15:00,"Culvert Road, Battersea",300080,42159,CLASSIC,23m 20s,1400010,23.3335,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051687,2025-10-15 23:52:00,"Clinton Road, Mile End",200161,2025-10-15 23:57:00,"Mostyn Grove, Bow",200174,57851,CLASSIC,5m 8s,308453,5.140883333333333,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051688,2025-10-15 23:52:00,"Pritchard's Road, Bethnal Green",200083,2025-10-16 00:19:00,"Great Dover Street, The Borough",1017,52688,CLASSIC,26m 34s,1594953,26.58255,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051689,2025-10-15 23:52:00,"Clinton Road, Mile End",200161,2025-10-15 23:58:00,"Ansell House, Stepney",200148,20920,CLASSIC,5m 53s,353266,5.887766666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051690,2025-10-15 23:53:00,"Chicheley Street, South Bank",200206,2025-10-16 00:17:00,"Bruton Street, Mayfair",1034,51686,CLASSIC,24m 49s,1489097,24.818283333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051681,2025-10-15 23:51:00,"Blythe Road, Olympia",200153,2025-10-16 00:14:00,"Crawford Street, Marylebone",1036,54695,CLASSIC,23m 18s,1398818,23.313633333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051682,2025-10-15 23:51:00,"Upper Grosvenor Street, Mayfair",10621,2025-10-16 00:08:00,"Westfield Ariel Way, White City_OLD",200141444,59872,CLASSIC,17m 40s,1060995,17.68325,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051683,2025-10-15 23:51:00,"New Road 1 , Whitechapel",1171,2025-10-16 00:04:00,"Queen Mary's, Mile End",200249,57177,CLASSIC,13m 21s,801815,13.363583333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051684,2025-10-15 23:51:00,"Westfield Ariel Way, White City_OLD",200141444,2025-10-16 00:08:00,"Old Brompton Road, South Kensington",3479,62171,PBSC_EBIKE,17m 13s,1033626,17.2271,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051685,2025-10-15 23:51:00,"Newton Street, Covent Garden",300074,2025-10-16 00:02:00,"Eversholt Street , Camden Town",1005,54967,CLASSIC,10m 56s,656604,10.9434,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051675,2025-10-15 23:50:00,"Aldersgate Street, Barbican",1065,2025-10-15 23:51:00,"Roscoe Street, St. Luke's",1026,35762,CLASSIC,1m 33s,93832,1.5638666666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051676,2025-10-15 23:50:00,"Queen's Gate (Central), South Kensington",1089,2025-10-16 00:16:00,"Gloucester Street, Pimlico",1103,54396,CLASSIC,25m 43s,1543111,25.718516666666666,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051677,2025-10-15 23:50:00,"Selby Street, Whitechapel",200135,2025-10-16 00:03:00,"Hertford Road, De Beauvoir Town",300092,56688,CLASSIC,13m 1s,781020,13.017,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051678,2025-10-15 23:51:00,"Borough High Street, The Borough",996,2025-10-16 00:07:00,"Riverlight North, Nine Elms",1165,55845,CLASSIC,16m 11s,971215,16.186916666666665,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051680,2025-10-15 23:51:00,"Christian Street, Whitechapel",22177,2025-10-16 00:03:00,"Baldwin Street, St. Luke's",3500,58981,CLASSIC,12m 40s,760566,12.6761,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051670,2025-10-15 23:49:00,"Upper Bank Street, Canary Wharf",200099,2025-10-15 23:52:00,"Preston's Road, Cubitt Town",200232,61116,PBSC_EBIKE,2m 59s,179451,2.99085,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051671,2025-10-15 23:49:00,"Barons Court Station, West Kensington",200197,2025-10-15 23:54:00,"Everington Street, Fulham",300028,64033,PBSC_EBIKE,4m 54s,294228,4.9038,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051672,2025-10-15 23:49:00,"Irene Road, Parsons Green",300012,2025-10-15 23:54:00,"South Park, Sands End",200180,56840,CLASSIC,4m 43s,283513,4.725216666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051673,2025-10-15 23:49:00,"Warren Street Station, Euston",1090,2025-10-15 23:59:00,"Gloucester Avenue, Camden Town_OLD",2001454444,55727,CLASSIC,9m 55s,595362,9.9227,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051674,2025-10-15 23:49:00,"Queen's Gate (Central), South Kensington",1089,2025-10-15 23:56:00,"Nevern Place, Earl's Court",1210,51918,CLASSIC,6m 8s,368316,6.1386,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051666,2025-10-15 23:48:00,"Warren Street Station, Euston",1090,2025-10-15 23:57:00,"Great Percy Street, Clerkenwell",3470,51432,CLASSIC,9m 44s,584803,9.746716666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051667,2025-10-15 23:48:00,"South Audley Street, Mayfair",3493,2025-10-15 23:59:00,"Albert Embankment, Vauxhall",1059,60577,PBSC_EBIKE,10m 45s,645847,10.764116666666666,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051668,2025-10-15 23:48:00,"Concert Hall Approach, South Bank",1212,2025-10-16 00:04:00,"Central House, Aldgate",3430,62376,PBSC_EBIKE,16m 14s,974707,16.245116666666668,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051669,2025-10-15 23:49:00,"Kings Gate House, Westminster",300202,2025-10-16 00:09:00,"Simpson Street, Clapham Junction",200196,30973,CLASSIC,20m 29s,1229955,20.49925,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051661,2025-10-15 23:47:00,"Southern Grove, Bow",200168,2025-10-15 23:50:00,"Antill Road, Mile End",200041,50943,CLASSIC,3m 46s,226321,3.7720166666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051662,2025-10-15 23:47:00,"BBC White City, White City",200136,2025-10-16 00:05:00,"Parson's Green , Parson's Green",200237,63002,PBSC_EBIKE,18m 8s,1088447,18.140783333333335,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051663,2025-10-15 23:47:00,"Park Street, Bankside",1024,2025-10-16 00:14:00,"Hewison Street, Old Ford",200006,58794,CLASSIC,26m 36s,1596162,26.6027,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051664,2025-10-15 23:47:00,"Wormwood Street, Liverpool Street",2587,2025-10-16 00:01:00,"Furze Green, Bow",200011,53363,CLASSIC,14m 6s,846970,14.116166666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051665,2025-10-15 23:47:00,"South Audley Street, Mayfair",3493,2025-10-16 00:05:00,"Stamford Street, South Bank",962,51936,CLASSIC,17m 19s,1039340,17.322333333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051659,2025-10-15 23:46:00,"Limerston Street, West Chelsea",200001,2025-10-15 23:53:00,"Stephendale Road, Sands End",300053,58740,CLASSIC,7m 50s,470809,7.846816666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051660,2025-10-15 23:46:00,"Haggerston Road, Haggerston",300081,2025-10-15 23:55:00,"Braham Street, Aldgate",1062,64030,PBSC_EBIKE,9m 11s,551984,9.199733333333333,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051654,2025-10-15 23:45:00,"Monument Street, Monument",200101,2025-10-15 23:56:00,"Old Street Station, St. Luke's",1064,59046,CLASSIC,11m 11s,671298,11.1883,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051655,2025-10-15 23:45:00,"Farm Street, Mayfair",2678,2025-10-16 00:01:00,"New Kent Road, The Borough",966,30364,CLASSIC,16m 10s,970188,16.1698,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051656,2025-10-15 23:45:00,"Blackfriars Road, Southwark",300214,2025-10-16 00:08:00,"Ferndale Road, Brixton",200240,22972,CLASSIC,22m 23s,1343213,22.386883333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051657,2025-10-15 23:45:00,"Westminster Pier, Westminster",300249,2025-10-16 00:21:00,"Southern Grove, Bow",200168,58754,CLASSIC,35m 26s,2126902,35.448366666666665,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051658,2025-10-15 23:46:00,"Tachbrook Street, Victoria",965,2025-10-16 00:05:00,"Long Lane , Bermondsey",1189,57182,CLASSIC,19m 15s,1155649,19.260816666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051648,2025-10-15 23:44:00,"Maplin Street, Mile End",200230,2025-10-15 23:50:00,"Hewison Street, Old Ford",200006,35326,CLASSIC,5m 47s,347913,5.79855,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051649,2025-10-15 23:44:00,"Hop Exchange, The Borough",960,2025-10-16 00:00:00,"Caldwell Street, Stockwell",200137,22119,CLASSIC,15m 58s,958405,15.973416666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051650,2025-10-15 23:44:00,"William IV Street, Strand",1028,2025-10-16 00:00:00,"Handyside Street, King's Cross",300241,52209,CLASSIC,16m 5s,965577,16.09295,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051651,2025-10-15 23:44:00,"Hyde Park Corner, Hyde Park",1075,2025-10-16 00:07:00,"Woodstock Grove, Shepherd's Bush",200214,59683,CLASSIC,22m 48s,1368100,22.801666666666666,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051652,2025-10-15 23:45:00,"South Kensington Station, South Kensington",2685,2025-10-15 23:57:00,"Manbre Road, Hammersmith",200235,60108,PBSC_EBIKE,12m 20s,740428,12.340466666666666,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051653,2025-10-15 23:45:00,"Burgess Park Albany Road, Walworth",300063,2025-10-16 00:10:00,"Kennington Station, Kennington",22170,51356,CLASSIC,25m 48s,1548875,25.814583333333335,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051641,2025-10-15 23:43:00,"Ontario Street, Elephant & Castle",1200,2025-10-15 23:53:00,"Brandon Street, Walworth",300060,54586,CLASSIC,10m 1s,601114,10.018566666666667,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051642,2025-10-15 23:43:00,"Langdon Park, Poplar",200160,2025-10-16 00:05:00,"Furze Green, Bow",200011,59465,CLASSIC,22m 34s,1354330,22.572166666666668,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051643,2025-10-15 23:43:00,"Jubilee Crescent, Cubitt Town",200054,2025-10-15 23:45:00,"Preston's Road, Cubitt Town",200232,63023,PBSC_EBIKE,2m 10s,130811,2.1801833333333334,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051644,2025-10-15 23:43:00,"Belvedere Road 1, South Bank",1186,2025-10-16 00:07:00,"Austin Road, Battersea Park",300013,57882,CLASSIC,24m 7s,1447429,24.123816666666666,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051645,2025-10-15 23:43:00,"Euston Road, Euston",983,2025-10-15 23:56:00,"Guilford Street , Bloomsbury",974,55774,CLASSIC,12m 19s,739508,12.325133333333333,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051646,2025-10-15 23:43:00,"Westminster Pier, Westminster",300249,2025-10-15 23:55:00,"Gloucester Street, Pimlico",1103,50401,CLASSIC,11m 10s,670047,11.16745,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051647,2025-10-15 23:44:00,"Bethnal Green Road, Shoreditch",973,2025-10-15 23:52:00,"Globe Town Market, Bethnal Green",200247,59358,CLASSIC,8m 54s,534700,8.911666666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051633,2025-10-15 23:42:00,"Claverton Street, Pimlico",1135,2025-10-15 23:48:00,"Vincent Street, Pimlico",22161,55236,CLASSIC,6m 14s,374023,6.233716666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051634,2025-10-15 23:42:00,"Emperor's Gate, South Kensington",1116,2025-10-16 00:24:00,"Exhibition Road Museums 1, South Kensington",22158,53008,CLASSIC,41m 47s,2507129,41.78548333333333,Long(41-120 mins),23,0,Wednesday,October,False,Weekday
153051635,2025-10-15 23:42:00,"Emperor's Gate, South Kensington",1116,2025-10-16 00:24:00,"Exhibition Road Museums 1, South Kensington",22158,41753,CLASSIC,41m 54s,2514773,41.91288333333333,Long(41-120 mins),23,0,Wednesday,October,False,Weekday
153051636,2025-10-15 23:42:00,"Hyde Park Corner, Hyde Park",1075,2025-10-16 00:06:00,"Richmond Way, Shepherd's Bush",200181,56339,CLASSIC,24m 12s,1452234,24.2039,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051637,2025-10-15 23:42:00,"Trebovir Road, Earl's Court",1113,2025-10-15 23:48:00,"Humbolt Road, Fulham",300068,24376,CLASSIC,5m 51s,351523,5.858716666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051638,2025-10-15 23:42:00,"Cleveland Way, Stepney",200250,2025-10-15 23:48:00,"Selby Street, Whitechapel",200135,56901,CLASSIC,6m 11s,371358,6.1893,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051639,2025-10-15 23:42:00,"Hyde Park Corner, Hyde Park",1075,2025-10-16 00:00:00,"Knaresborough Place, Earl's Court",200069,58730,CLASSIC,17m 22s,1042851,17.38085,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051640,2025-10-15 23:42:00,"Stephendale Road, Sands End",300053,2025-10-15 23:52:00,"Sugden Road, Clapham",200208,64215,PBSC_EBIKE,9m 40s,580451,9.674183333333334,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051630,2025-10-15 23:41:00,"Canada Water Station, Rotherhithe",300252,2025-10-15 23:52:00,"Crimscott Street, Bermondsey",300061,50767,CLASSIC,11m 13s,673039,11.217316666666667,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051631,2025-10-15 23:41:00,"Camley Street, Camden Town",22181,2025-10-15 23:59:00,"Lambeth Palace Road, Waterloo",300231,53640,CLASSIC,18m 7s,1087583,18.126383333333333,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051632,2025-10-15 23:41:00,"Tavistock Place, Bloomsbury",3439,2025-10-15 23:48:00,"St. John Street, Finsbury",992,54908,CLASSIC,6m 46s,406914,6.7819,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051626,2025-10-15 23:40:00,"Hyde Park Corner, Hyde Park",1075,2025-10-15 23:49:00,"Chelsea Bridge, Pimlico",22160,63120,PBSC_EBIKE,9m 5s,545580,9.093,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051627,2025-10-15 23:40:00,"Gas Holders, Battersea Park",300216,2025-10-15 23:51:00,"Vicarage Crescent, Battersea",200077,62225,PBSC_EBIKE,11m 31s,691083,11.51805,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051628,2025-10-15 23:40:00,"Page Street, Westminster",200048,2025-10-15 23:49:00,"Kennington Lane Rail Bridge, Vauxhall",1190,62323,PBSC_EBIKE,8m 32s,512111,8.535183333333332,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051629,2025-10-15 23:40:00,"Woodstock Grove, Shepherd's Bush",200214,2025-10-15 23:55:00,"Woodstock Grove, Shepherd's Bush",200214,50466,CLASSIC,14m 44s,884036,14.733933333333333,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051621,2025-10-15 23:39:00,"Hatton Wall, Holborn",1008,2025-10-15 23:58:00,"Gloucester Street, Pimlico",1103,55810,CLASSIC,18m 19s,1099076,18.317933333333333,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051622,2025-10-15 23:39:00,"Grant Road East, Clapham Junction",200120,2025-10-15 23:42:00,"Hibbert Street, Battersea",300051,35043,CLASSIC,2m 34s,154811,2.5801833333333333,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051623,2025-10-15 23:39:00,"Brushfield Street, Liverpool Street",1161,2025-10-15 23:48:00,"Pott Street, Bethnal Green",200156,40278,CLASSIC,8m 43s,523513,8.725216666666666,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051624,2025-10-15 23:39:00,"South Parade, Chelsea",22182,2025-10-16 00:13:00,"Rotherhithe Roundabout, Rotherhithe",10629,64115,PBSC_EBIKE,33m 38s,2018292,33.6382,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051625,2025-10-15 23:39:00,"Globe Town Market, Bethnal Green",200247,2025-10-16 00:10:00,"East India DLR, Blackwall",200127,59336,CLASSIC,30m 32s,1832241,30.53735,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051615,2025-10-15 23:38:00,"Duke Street Hill, London Bridge",300083,2025-10-16 01:02:00,"Farm Street, Mayfair",2678,54649,CLASSIC,1h 24m 35s,5075922,84.5987,Long(41-120 mins),23,1,Wednesday,October,False,Weekday
153051616,2025-10-15 23:38:00,"Duke Street Hill, London Bridge",300083,2025-10-16 01:02:00,"Farm Street, Mayfair",2678,52650,CLASSIC,1h 24m 9s,5049095,84.15158333333333,Long(41-120 mins),23,1,Wednesday,October,False,Weekday
153051617,2025-10-15 23:38:00,"Seymour Place, Marylebone",200198,2025-10-15 23:46:00,"St. John's Wood Road, St. John's Wood",1187,53415,CLASSIC,7m 49s,469041,7.81735,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051618,2025-10-15 23:38:00,"Belvedere Road 2, South Bank",300246,2025-10-15 23:56:00,"Hampstead Road, Euston",972,30677,CLASSIC,18m 19s,1099827,18.33045,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051619,2025-10-15 23:38:00,"Craven Street, Strand",1160,2025-10-16 00:08:00,"Westferry DLR, Limehouse",200238,41114,CLASSIC,29m 31s,1771636,29.527266666666666,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051620,2025-10-15 23:38:00,"Tower Gardens , Tower",1071,2025-10-15 23:59:00,"Vauxhall Bridge , Pimlico",1046,58421,CLASSIC,20m 11s,1211261,20.187683333333332,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051612,2025-10-15 23:37:00,"Aquatic Centre, Queen Elizabeth Olympic Park",300233,2025-10-15 23:40:00,"Monier Road, Hackney Wick",300213,63474,PBSC_EBIKE,2m 46s,166569,2.77615,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051613,2025-10-15 23:37:00,"Clerkenwell Green, Clerkenwell",1053,2025-10-15 23:54:00,"Leonard Circus , Shoreditch",1020,63388,PBSC_EBIKE,16m 33s,993190,16.553166666666666,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
153051614,2025-10-15 23:38:00,"Hewison Street, Old Ford",200006,2025-10-15 23:54:00,"Watney Street, Shadwell",200149,64101,PBSC_EBIKE,16m 1s,961851,16.03085,Normal(10-40 mins),23,23,Wednesday,October,False,Weekday
