Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051164,2025-10-15 22:48:00,"Sackville Street, Mayfair",1197,2025-10-15 23:13:00,"Kensington Olympia Station, Olympia",1214,59368,CLASSIC,24m 10s,1450762,24.179366666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051165,2025-10-15 22:49:00,"Borough Road, Elephant & Castle",1082,2025-10-15 22:53:00,"Kennington Road, Vauxhall",1154,54360,CLASSIC,4m 32s,272084,4.5347333333333335,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051166,2025-10-15 22:49:00,"Woodstock Street, Mayfair",1042,2025-10-15 23:11:00,"Woodstock Grove, Shepherd's Bush",200214,50466,CLASSIC,22m 32s,1352296,22.538266666666665,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051167,2025-10-15 22:49:00,"Limerston Street, West Chelsea",200001,2025-10-15 23:02:00,"Crabtree Lane, Fulham",200221,57076,CLASSIC,13m 47s,827863,13.797716666666666,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051168,2025-10-15 22:49:00,"Emperor's Gate, South Kensington",1116,2025-10-15 23:32:00,"Durant Street, Bethnal Green",200213,64154,PBSC_EBIKE,43m 6s,2586349,43.10581666666667,Long(41-120 mins),22,23,Wednesday,October,False,Weekday
153051170,2025-10-15 22:49:00,"Fisherman's Walk West, Canary Wharf",22165,2025-10-15 22:59:00,"St. John's Park, Cubitt Town",200243,35259,CLASSIC,10m 9s,609108,10.1518,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051144,2025-10-15 22:47:00,"Doric Way , Somers Town",1004,2025-10-15 23:05:00,"Wellington Row, Bethnal Green",200165,50491,CLASSIC,18m 29s,1109772,18.4962,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051145,2025-10-15 22:47:00,"Farm Street, Mayfair",2678,2025-10-15 23:04:00,"Hereford Road, Bayswater",1016,40551,CLASSIC,16m 52s,1012380,16.873,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051146,2025-10-15 22:47:00,"Clapham South, Clapham South",300006,2025-10-15 23:01:00,"Hibbert Street, Battersea",300051,57467,CLASSIC,13m 55s,835698,13.9283,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051147,2025-10-15 22:47:00,"Golden Square, Soho",3451,2025-10-15 23:07:00,"Charlotte Terrace, Angel",200129,63485,PBSC_EBIKE,19m 50s,1190542,19.842366666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
